model	year	odometer	crumb_area	price	model1_est	model5_est	model3_est	model4_est	model2_est
impreza	2009	26000	atlanta	7999	7876.432268017834	7276.251040221914	9429.025928253825	6655.659942363112	5950
brz	2014	52950	atlanta	16500	15873.15558316173	18539.40404040404	15545.689458053666	16082.274725274725	16000
forester	2001	170000	minneapolis	700	1311.6838332628872	2417.3728222996515	2258.7177482623165	6524.113964686999	2350
wrx	2007	195500	minneapolis	8000	10955.344221685244	4789.687074829932	8157.339890038203	12931.025862068966	9749.5
legacy	2003	156000	minneapolis	3100	3303.8148966881386	2417.3728222996515	2735.2982849980835	6418.04289544236	2500
outback	2007	199534	minneapolis	2000	7486.216374048616	4789.687074829932	4119.18234626508	7574.452145214522	5495
wrx	2003	93000	minneapolis	10500	7775.585508196711	7276.251040221914	7897.439391255053	12931.025862068966	5900
forester	2001	184000	atlanta	2500	935.9007871365652	2417.3728222996515	2170.6106316560663	6524.113964686999	2350
legacy	2010	157000	atlanta	5700	9108.0537386723	4789.687074829932	5386.754722812961	6418.04289544236	6500
outback	2001	174000	atlanta	1600	1938.104755670953	2417.3728222996515	2641.014723994399	7574.452145214522	2450
wrx	2002	280000	minneapolis	6500	6403.257290331634	2417.3728222996515	3557.4785604398267	12931.025862068966	5500
outback	2016	17528	atlanta	28000	16138.487526199957	18539.40404040404	24486.420293435942	7574.452145214522	19350
forester	2008	121720	atlanta	6200	7268.5509470657	7276.251040221914	6735.723080111018	6524.113964686999	6700
impreza	2011	55000	minneapolis	7500	9637.930270284649	11567.134146341463	9178.226833732686	6655.659942363112	7500
impreza	2008	128000	minneapolis	7500	6624.856224305582	7276.251040221914	5273.424141042242	6655.659942363112	5500
brz	2013	53240	minneapolis	11950	15332.81081805742	18539.40404040404	14530.102363835067	16082.274725274725	15950
legacy	2010	92085	atlanta	4500	9347.199072848623	7276.251040221914	7459.522111255751	6418.04289544236	6500
outback	2001	180000	atlanta	1000	1922.9048956592853	2417.3728222996515	2535.061620749706	7574.452145214522	2450
legacy	2005	195000	minneapolis	2900	4960.170242977076	4789.687074829932	2837.9105731213194	6418.04289544236	4000
legacy	2010	53000	minneapolis	9999	9934.961109362808	7276.251040221914	10195.030593162517	6418.04289544236	6500
forester	2015	35789	missoula	13200	16328.721893117141	18539.40404040404	16930.22721820108	6524.113964686999	16100
forester	2002	167149	atlanta	3500	1857.1656453654891	2417.3728222996515	2665.558652591967	6524.113964686999	2700
impreza	2009	131600	atlanta	5499	7150.3220407417975	7276.251040221914	5793.5254892448265	6655.659942363112	5950
forester	1999	110015	minneapolis	4750	-249.63615345614528	2504.294736842105	2899.4789202109214	6524.113964686999	1750
impreza	2010	42000	minneapolis	10000	8880.450375061992	7276.251040221914	9038.205220878011	6655.659942363112	6700
legacy	2000	231534	minneapolis	1900	492.16497413872673	2417.3728222996515	1133.607893915926	6418.04289544236	1950
outback	2004	174000	atlanta	4500	4572.706953721574	4789.687074829932	3313.4910343202782	7574.452145214522	3999.5
legacy	2002	188000	minneapolis	1200	2341.9594507445004	2417.3728222996515	1962.3524580063486	6418.04289544236	2200
