model	year	odometer	crumb_area	price	model1_est	model5_est	model3_est	model4_est	model2_est
wrx	2002	236000	atlanta	6700	6139.618560112964	2417.3728222996515	4221.173950637625	12931.025862068966	5500
outback	2003	225000	missoula	4500	5943.77051077197	2417.3728222996515	2632.1344522912786	7574.452145214522	3050
legacy	1995	164000	missoula	2700	-1719.9956194449524	2417.3728222996515	1535.2738776494662	6418.04289544236	1100
forester-xt	2002	4195	missoula	29302	7852.729942324411	7276.251040221914	20951.52072071335	9804.4	6200
impreza	2006	127030	atlanta	5899	4531.563012360444	7276.251040221914	4342.726015945716	6655.659942363112	4750
wrx	2014	67500	minneapolis	19750	17579.37727715644	18539.40404040404	19711.308431416415	12931.025862068966	20250
legacy	2008	83000	minneapolis	5800	7977.643345972185	7276.251040221914	7254.725893018187	6418.04289544236	5800
legacy	2001	58100	atlanta	4150	1649.711925025195	2504.294736842105	4793.163734143346	6418.04289544236	2000
outback	2002	179000	atlanta	4600	2803.603442617996	2417.3728222996515	2688.4989604731454	7574.452145214522	2500
forester	2003	162201	atlanta	2495	2748.838511066015	2417.3728222996515	3045.009126450821	6524.113964686999	2900
forester	2009	172000	atlanta	5700	7991.744230745526	4789.687074829932	5804.2804210036065	6524.113964686999	6900
wrx	2004	147150	minneapolis	8000	8448.119263025694	7276.251040221914	6954.728705218887	12931.025862068966	6000
legacy	2015	64000	missoula	17250	16265.723133269441	18539.40404040404	16695.853541963337	6418.04289544236	15995
forester	2004	188303	minneapolis	2750	3900.4399107417325	4789.687074829932	2973.2875934794583	6524.113964686999	3200
impreza-wrx	2014	48207	minneapolis	22000	16058.219994639037	18539.40404040404	20782.255529698356	9121.141592920354	18950
wrx	2008	102000	minneapolis	12000	12125.192438215707	7276.251040221914	11967.069566352537	12931.025862068966	10750
legacy	2005	60000	minneapolis	7500	5488.405222770807	7276.251040221914	6351.6828363705745	6418.04289544236	4000
impreza	2015	49500	minneapolis	15499	13197.908136583515	11567.134146341463	12358.661859415894	6655.659942363112	12000
impreza	2010	115123	minneapolis	7000	8428.783859447947	7276.251040221914	6727.866345811368	6655.659942363112	6700
wrx	2006	159000	atlanta	8500	9829.496489042009	4789.687074829932	8012.201343143594	12931.025862068966	8500
outback	2001	190000	minneapolis	2200	2238.964724133468	2417.3728222996515	1890.7542883198657	7574.452145214522	2450
legacy	2001	157000	atlanta	2300	1204.2471445204378	2417.3728222996515	2403.5039198307077	6418.04289544236	2000
outback	2003	59977	atlanta	15950	4171.824552543489	7276.251040221914	7037.857438202753	7574.452145214522	3050
legacy-outback	1999	77000	missoula	4500	3273.404375896397	2504.294736842105	3442.6128695737298	3175.4347826086955	1450
outback	2000	158600	missoula	4400	3465.96927286108	2417.3728222996515	3162.903895993807	7574.452145214522	2350
outback	2004	142000	minneapolis	4500	5004.119970771333	7276.251040221914	3879.0558890564516	7574.452145214522	3999.5
forester	2002	108000	minneapolis	9750	2393.251152010626	7276.251040221914	4072.520464988932	6524.113964686999	2700
impreza-wrx	2005	170036	minneapolis	9000	7589.608380236714	4789.687074829932	6406.134365685528	9121.141592920354	6900
legacy	2011	163000	atlanta	7995	9969.440275179391	11650.57939914163	5815.710160793598	6418.04289544236	7500
forester	2010	117243	minneapolis	8000	9382.051314840175	7276.251040221914	8665.404882893572	6524.113964686999	7100
legacy	2005	192222	missoula	5300	6990.820109450815	4789.687074829932	4497.977898129495	6418.04289544236	4000
legacy	1995	285000	missoula	1400	-1967.7895803914885	2417.3728222996515	906.3425762841061	6418.04289544236	1100
forester	2006	114000	minneapolis	2950	5881.821029691389	7276.251040221914	6050.156811130378	6524.113964686999	4000
forester	2010	79000	minneapolis	7500	9558.976427564698	7276.251040221914	10443.133383307937	6524.113964686999	7100
outback	2001	284000	minneapolis	1200	2058.7254677729725	2417.3728222996515	706.6262996502965	7574.452145214522	2450
forester	2006	108000	minneapolis	7500	5906.054082744788	7276.251040221914	6271.989552559602	6524.113964686999	4000
forester	2008	174300	minneapolis	4500	7447.889500730407	4789.687074829932	5428.669631381386	6524.113964686999	6700
forester	2003	205000	atlanta	3200	2643.844440053285	2417.3728222996515	2224.4520127252254	6524.113964686999	2900
forester	2011	84000	atlanta	12500	10069.378811014343	11650.57939914163	10600.408897108075	6524.113964686999	7900
legacy	2010	137000	atlanta	7000	9169.141335162069	7276.251040221914	5923.0735149678585	6418.04289544236	6500
legacy	2005	138000	minneapolis	5800	5115.1790509907605	7276.251040221914	3881.719076013652	6418.04289544236	4000
legacy	1999	147000	minneapolis	1800	-182.34790874398425	2504.294736842105	1915.1432566156973	6418.04289544236	1500
wrx	2010	110000	minneapolis	14200	13847.752696971927	7276.251040221914	13606.974073594822	12931.025862068966	14100
outback	2001	203443	minneapolis	1600	2208.3127866826	2417.3728222996515	1681.9149928578827	7574.452145214522	2450
forester	2011	63390	missoula	8500	12560.01080228541	18539.40404040404	11688.482665821391	6524.113964686999	7900
outback	2001	212306	missoula	1000	4213.408491576013	2417.3728222996515	2446.8798460981952	7574.452145214522	2450
outback	2008	156687	minneapolis	6000	8472.799260825648	4789.687074829932	5984.3103690048665	7574.452145214522	6325
impreza	2008	163000	atlanta	3500	6176.19273039226	4789.687074829932	4642.904797427624	6655.659942363112	5500
legacy	1998	193207	minneapolis	2000	-1183.0930614718013	2417.3728222996515	1288.0533769633175	6418.04289544236	1500
forester	2010	116000	atlanta	9500	9046.527080485417	7276.251040221914	8371.867943876952	6524.113964686999	7100
forester	2008	66656	minneapolis	10500	7878.689404619587	7276.251040221914	9611.174461176292	6524.113964686999	6700
impreza-wrx	2008	107250	minneapolis	11500	10430.795384255214	7276.251040221914	11361.620649190507	9121.141592920354	8999
outback	2001	178653	atlanta	2500	1926.272712028229	2417.3728222996515	2558.4822117693184	7574.452145214522	2450
wrx	2017	49000	atlanta	27000	20017.119249275478	18539.40404040404	22159.45546685246	12931.025862068966	22999
forester	2006	69183	minneapolis	7850	6105.619800036398	7276.251040221914	7996.408701694978	6524.113964686999	4000
impreza	1996	225000	minneapolis	2600	-4166.4469764759415	2417.3728222996515	2186.258036602604	6655.659942363112	2150
impreza	2005	160100	minneapolis	3500	3889.9403558656245	4789.687074829932	3432.467019715441	6655.659942363112	4500
outback	2000	235170	minneapolis	1500	1265.1285149976884	2417.3728222996515	1162.9781040070593	7574.452145214522	2350
forester	2010	62800	minneapolis	10000	9661.782054427213	7276.251040221914	11380.654640364182	6524.113964686999	7100
forester	2010	84700	minneapolis	10000	9527.761205372584	7276.251040221914	10143.057085095767	6524.113964686999	7100
impreza	2006	127717	atlanta	7995	4529.145307789286	7276.251040221914	4328.779299781299	6655.659942363112	4750
outback	2007	152275	atlanta	5495	7267.101756624836	4789.687074829932	5444.948103356941	7574.452145214522	5495
legacy-outback	1998	229263	missoula	1300	1906.131895767453	2417.3728222996515	2290.2051057645385	3175.4347826086955	1500
forester-xt	2010	210000	minneapolis	8495	11108.981800827476	4789.687074829932	8260.036723067416	9804.4	9900
legacy	2007	150000	atlanta	3900	6493.8993769407825	4789.687074829932	4112.261982687306	6418.04289544236	5000
forester	2008	174766	atlanta	4880	7106.390801422958	4789.687074829932	5090.983056112385	6524.113964686999	6700
outback	2005	174130	minneapolis	4500	5790.87445199192	4789.687074829932	3548.275112137884	7574.452145214522	4400
impreza	2006	153000	minneapolis	4600	4788.477188414194	4789.687074829932	3901.2888838478875	6655.659942363112	4750
wrx	2013	42000	minneapolis	24500	16913.61864544962	18539.40404040404	20771.35272011451	12931.025862068966	18950
forester	2001	186000	minneapolis	1999	1271.3551760888736	2417.3728222996515	1982.3281144512512	6524.113964686999	2350
forester	2003	261770	atlanta	1850	2534.2272555411314	2417.3728222996515	1389.6367271327772	6524.113964686999	2900
impreza	2009	113000	atlanta	5500	7218.624243252685	7276.251040221914	6215.684336725464	6655.659942363112	5950
forester	2004	146	atlanta	5999	6539.335787811413	7276.251040221914	4097.392760491101	6524.113964686999	3200
impreza	2006	169000	minneapolis	2850	4743.886193283093	4789.687074829932	3659.9686517584214	6655.659942363112	4750
outback	1996	275	missoula	700	2666.2675653199485	2504.294736842105	3945.637177733607	7574.452145214522	1350
forester	2006	185495	atlanta	3999	5323.2762161899045	4789.687074829932	3725.9143100929095	6524.113964686999	4000
forester-xt	2004	134800	minneapolis	6500	6038.532349531079	7276.251040221914	5667.553462659048	9804.4	5900
forester	2000	145	atlanta	5998	3028.3601764463733	2504.294736842105	3534.2905420037987	6524.113964686999	1947.5
outback	2003	205000	minneapolis	1600	3961.295701551686	2417.3728222996515	2108.93904785872	7574.452145214522	3050
forester	1998	245000	minneapolis	1500	-1486.785174817332	2417.3728222996515	809.1760725823742	6524.113964686999	1500
legacy	1998	240000	minneapolis	900	-1280.3400946466822	2417.3728222996515	922.7808507769405	6418.04289544236	1500
forester	2011	91540	missoula	11950	12395.37882547881	11650.57939914163	10473.150462113803	6524.113964686999	7900
forester-xt	2004	138400	minneapolis	6400	6026.717602111026	7276.251040221914	5577.622262903227	9804.4	5900
forester-xt	2004	182849	minneapolis	5000	5901.853829812817	4789.687074829932	4637.922250527279	9804.4	5900
forester	2008	127000	atlanta	5400	7249.516747133659	7276.251040221914	6545.114528827036	6524.113964686999	6700
legacy	2014	104500	atlanta	8900	12803.32233824164	11650.57939914163	9655.535766246014	6418.04289544236	14500
forester	2003	179	atlanta	2800	5604.664385683956	7276.251040221914	4054.35415000995	6524.113964686999	2900
outback	2006	149100	minneapolis	4260	6738.648895324062	4789.687074829932	4786.26234209106	7574.452145214522	4997.5
impreza	2005	167000	atlanta	3500	3530.721283874432	4789.687074829932	3242.1438664192474	6655.659942363112	4500
impreza	1999	59000	missoula	5500	1092.298922976579	2504.294736842105	3828.1097176057974	6655.659942363112	2300
legacy-outback	2016	57000	minneapolis	13000	16313.316608413284	18539.40404040404	12596.055728877	3175.4347826086955	15500
impreza	2008	92400	minneapolis	6900	6770.923581050749	7276.251040221914	6084.848076129187	6655.659942363112	5500
forester-xt	2009	102100	minneapolis	9900	10554.070053165693	7276.251040221914	10064.579639579788	9804.4	9900
forester	2008	127000	atlanta	5200	7249.516747133659	7276.251040221914	6545.114528827036	6524.113964686999	6700
sti-wrx	2014	96000	atlanta	32000	22891.84469030487	11650.57939914163	22730.69304436232	19286.675213675215	27000
impreza	2007	123700	minneapolis	6400	5761.9726367162875	7276.251040221914	4856.962721093079	6655.659942363112	5250
legacy	2013	117700	missoula	11000	14236.325046486205	11650.57939914163	12873.036336493282	6418.04289544236	12000
legacy	1996	173113	missoula	1500	-866.0402857870076	2417.3728222996515	1534.9083249106925	6418.04289544236	1375
forester	2010	116000	missoula	10900	11411.045009541005	7276.251040221914	8763.830366930926	6524.113964686999	7100
forester	1998	187500	missoula	1000	657.3679391571031	2417.3728222996515	2289.532087771404	6524.113964686999	1500
outback	2006	140000	atlanta	3500	6426.578628911957	7276.251040221914	5216.646180828303	7574.452145214522	4997.5
legacy	2010	123000	minneapolis	8400	9557.763925859716	7276.251040221914	7292.301145118101	6418.04289544236	6500
forester	2006	240800	minneapolis	2300	5546.574568558364	4789.687074829932	2875.3686767804875	6524.113964686999	4000
impreza	2010	44000	minneapolis	7600	8859.629641433861	7276.251040221914	8949.81930918263	6655.659942363112	6700
legacy	2002	170000	atlanta	1950	2046.7819037064587	2417.3728222996515	2348.6527503060215	6418.04289544236	2200
outback	2013	100700	minneapolis	12900	13061.974679102068	11650.57939914163	13214.821181849296	7574.452145214522	12900
impreza	2009	116000	minneapolis	6750	7547.181566203624	7276.251040221914	6087.6843593356625	6655.659942363112	5950
outback	2010	123000	minneapolis	7999	10337.714622219859	7276.251040221914	8980.642050463044	7574.452145214522	8900
forester	2009	127741	minneapolis	6995	8465.411288616791	7276.251040221914	7548.679553636518	6524.113964686999	6900
legacy	2005	168000	minneapolis	5000	5026.991587881645	4789.687074829932	3284.0436582800303	6418.04289544236	4000
forester	2001	150112	atlanta	3000	1027.161418011347	2417.3728222996515	2783.717103162926	6524.113964686999	2350
outback	2006	70100	atlanta	6000	6736.569224433348	7276.251040221914	8427.125708015386	7574.452145214522	4997.5
sti-wrx	2004	131000	atlanta	14500	13970.5132274254	13797.777777777777	12071.114291193733	19286.675213675215	12250
legacy	1995	164000	missoula	2700	-1719.9956194449524	2417.3728222996515	1535.2738776494662	6418.04289544236	1100
brz	2014	39000	atlanta	15950	16010.030922520138	18539.40404040404	16615.207279660986	16082.274725274725	16000
legacy	2002	138000	minneapolis	2300	2480.57685294014	7276.251040221914	2739.951306044608	6418.04289544236	2200
legacy	2015	65802	minneapolis	8500	14229.069466095036	18539.40404040404	13688.664002735004	6418.04289544236	15995
impreza	2007	92000	minneapolis	5785	5894.666973987802	7276.251040221914	5577.523249439208	6655.659942363112	5250
outback	2013	100500	minneapolis	12900	13062.865655134463	11650.57939914163	13225.472133102921	7574.452145214522	12900
outback	2012	141000	atlanta	12300	11692.592355198425	11650.57939914163	10298.906556125155	7574.452145214522	11650
forester	2002	185000	atlanta	2000	1811.6713606549479	2417.3728222996515	2334.777555384915	6524.113964686999	2700
outback	2005	171000	minneapolis	5250	5799.006824647309	4789.687074829932	3623.4502949085436	7574.452145214522	4400
forester	2002	131410	minneapolis	800	2305.3125802847776	7276.251040221914	3430.635065603793	6524.113964686999	2700
forester	2017	13500	atlanta	19999	16155.915494632487	18539.40404040404	18912.400488798856	6524.113964686999	17700
outback	2006	140000	atlanta	3500	6426.578628911957	7276.251040221914	5216.646180828303	7574.452145214522	4997.5
brz	2013	43500	minneapolis	18000	15423.263019930928	18539.40404040404	15303.446257315927	16082.274725274725	15950
forester-xt	2004	208000	minneapolis	4500	5844.068267518893	4789.687074829932	4213.148046788974	9804.4	5900
impreza	1999	222000	minneapolis	850	-1525.8258202696966	2417.3728222996515	1947.222546376458	6655.659942363112	2300
legacy	2017	48000	atlanta	15700	15786.429431356566	18539.40404040404	14661.22019059415	6418.04289544236	17250
forester	2005	182000	minneapolis	3200	4793.905503545215	4789.687074829932	3562.2720991619844	6524.113964686999	3700
impreza	2012	70000	minneapolis	8450	10408.118687008468	11567.134146341463	9353.819708962714	6655.659942363112	9500
legacy	1997	140000	missoula	500	107.3392674555389	2504.294736842105	1980.2430479163404	6418.04289544236	1500
impreza	2009	74600	minneapolis	7500	7745.004285583076	7276.251040221914	7175.656810981805	6655.659942363112	5950
legacy	2007	169000	minneapolis	3900	6780.732272703142	4789.687074829932	4236.408409585084	6418.04289544236	5000
forester	2005	192000	minneapolis	900	4769.922974304594	4789.687074829932	3344.7088303773016	6524.113964686999	3700
brz	2013	70000	minneapolis	15495	15210.235307715579	18539.40404040404	13361.494868257989	16082.274725274725	15950
outback	2002	187000	minneapolis	450	3124.3014442639233	2417.3728222996515	2151.7223657668	7574.452145214522	2500
impreza	2005	134000	minneapolis	4500	3969.7192613594248	7276.251040221914	3851.2767978747042	6655.659942363112	4500
forester	2010	96400	minneapolis	8900	9469.779980027592	7276.251040221914	9569.065718333542	6524.113964686999	7100
sti-wrx	2015	50000	minneapolis	25000	24402.554953345214	27667.102040816328	25423.901576672986	19286.675213675215	29750
forester	2004	147000	atlanta	3900	3671.155189535459	7276.251040221914	3764.6874737942935	6524.113964686999	3200
forester	2002	109500	atlanta	4500	2046.7674521811118	7276.251040221914	4049.4423605823913	6524.113964686999	2700
legacy	2002	221449	atlanta	1650	1928.2344250273568	2417.3728222996515	1672.7163019791806	6418.04289544236	2200
impreza-wrx	2002	146048	minneapolis	5400	5023.184607359626	7276.251040221914	4668.198794930681	9121.141592920354	5300
legacy	2003	134572	minneapolis	2200	3370.053693959359	7276.251040221914	3136.7324035825413	6418.04289544236	2500
forester	2010	96400	minneapolis	8900	9469.779980027592	7276.251040221914	9569.065718333542	6524.113964686999	7100
outback	2013	69410	missoula	16500	15252.923473359682	18539.40404040404	16482.46392659968	7574.452145214522	12900
wrx	2012	93000	minneapolis	14990	15679.392102348573	11650.57939914163	16380.020963987921	12931.025862068966	16750
legacy	2013	50000	minneapolis	10900	12595.652418696962	18539.40404040404	12875.85367650669	6418.04289544236	12000
impreza	2006	186000	minneapolis	3500	4700.91244421921	4789.687074829932	3428.2061605624813	6655.659942363112	4750
legacy	2005	168000	minneapolis	5000	5026.991587881645	4789.687074829932	3284.0436582800303	6418.04289544236	4000
impreza	1998	175000	minneapolis	1800	-2297.36121606642	2417.3728222996515	2394.3952971322406	6655.659942363112	2500
impreza	2002	144459	atlanta	2700	961.1242480360011	7276.251040221914	2730.031576307114	6655.659942363112	3000
legacy	2010	64000	minneapolis	7900	9850.503154485265	7276.251040221914	9595.144430221846	6418.04289544236	6500
forester	2004	200000	minneapolis	750	3873.418579515636	4789.687074829932	2742.5830132010597	6524.113964686999	3200
impreza	2010	112000	minneapolis	4950	8441.11068583692	7276.251040221914	6799.047636371604	6655.659942363112	6700
forester	2003	165000	missoula	3000	5105.685849112008	2417.3728222996515	3323.529191396363	6524.113964686999	2900
outback	2006	92298	minneapolis	7250	6953.613111085877	7276.251040221914	6888.628342155518	7574.452145214522	4997.5
impreza-wrx	2005	178036	minneapolis	8000	7568.995286487298	4789.687074829932	6227.702902964627	9121.141592920354	6900
outback	2004	157700	minneapolis	2000	4957.107210469565	4789.687074829932	3467.1307292646425	7574.452145214522	3999.5
impreza	2007	126000	minneapolis	2500	5753.714744837194	7276.251040221914	4811.359926355795	6655.659942363112	5250
outback	2015	34000	missoula	23500	17328.810331357137	18539.40404040404	22285.241539176066	7574.452145214522	17750
impreza	2011	123771	atlanta	4900	8934.216749267498	11650.57939914163	7209.045306540123	6655.659942363112	7500
forester	2015	31340	minneapolis	14000	14363.878563158532	18539.40404040404	17169.97999586133	6524.113964686999	16100
impreza-wrx	2005	178036	minneapolis	8000	7568.995286487298	4789.687074829932	6227.702902964627	9121.141592920354	6900
outback	2003	213000	minneapolis	1600	3944.130287180911	2417.3728222996515	1973.2801687253204	7574.452145214522	3050
outback	2010	95150	minneapolis	12400	10452.778554038769	7276.251040221914	10291.099972638016	7574.452145214522	8900
outback	2005	172035	minneapolis	4300	5796.301337665449	4789.687074829932	3598.429222226645	7574.452145214522	4400
legacy	2010	210000	minneapolis	4000	9317.945028672057	4789.687074829932	5307.170185892002	6418.04289544236	6500
impreza-wrx	2005	178036	minneapolis	8000	7568.995286487298	4789.687074829932	6227.702902964627	9121.141592920354	6900
forester	2004	164000	minneapolis	3000	3962.395707891292	4789.687074829932	3503.099792913018	6524.113964686999	3200
outback	2003	157500	atlanta	4900	3739.173800488761	2417.3728222996515	3382.4050320582746	7574.452145214522	3050
impreza	2009	138400	minneapolis	6900	7468.039146636798	7276.251040221914	5631.876295678034	6655.659942363112	5950
legacy	2013	144000	minneapolis	7500	12121.705937222057	11650.57939914163	9046.912744665755	6418.04289544236	12000
impreza	2007	123700	minneapolis	5500	5761.9726367162875	7276.251040221914	4856.962721093079	6655.659942363112	5250
forester	2002	212000	missoula	3000	4115.106321358177	2417.3728222996515	2485.865308611881	6524.113964686999	2700
outback	2005	287931	atlanta	700	5225.062116039455	4789.687074829932	1610.7647571663047	7574.452145214522	4400
outback	2001	256730	minneapolis	1700	2103.9951809737795	2417.3728222996515	992.9387658641645	7574.452145214522	2450
outback	2000	235170	minneapolis	1200	1265.1285149976884	2417.3728222996515	1162.9781040070593	7574.452145214522	2350
legacy	2001	236457	minneapolis	1800	1360.9312232940342	2417.3728222996515	1228.560963996165	6418.04289544236	2000
forester-xt	2002	4195	missoula	27302	7852.729942324411	7276.251040221914	20951.52072071335	9804.4	6200
forester	2015	45000	minneapolis	17000	14202.020841841719	18539.40404040404	16162.40054561197	6524.113964686999	16100
impreza	2009	138400	minneapolis	6900	7468.039146636798	7276.251040221914	5631.876295678034	6655.659942363112	5950
forester	2013	70000	minneapolis	12000	12247.765814979373	18539.40404040404	13191.459521878664	6524.113964686999	13900
forester	2012	110000	atlanta	10600	10826.732871600247	11650.57939914163	10133.471886356681	6524.113964686999	9500
legacy	2016	29000	missoula	18699	17498.1910258572	18539.40404040404	19324.654767894448	6418.04289544236	16200
outback	2008	190000	missoula	3990	10410.586168284724	4789.687074829932	5870.854046471285	7574.452145214522	6325
forester	2010	67210	minneapolis	13995	9631.383303617453	7276.251040221914	11112.088358615574	6524.113964686999	7100
outback	2006	92298	minneapolis	7250	6953.613111085877	7276.251040221914	6888.628342155518	7574.452145214522	4997.5
impreza	2004	170000	minneapolis	3000	2984.8396360261427	4789.687074829932	3001.974254762733	6655.659942363112	3725
forester	2015	19600	minneapolis	17900	14573.585103140993	18539.40404040404	18001.707939015323	6524.113964686999	16100
wrx	2015	42000	atlanta	22800	18329.71849712759	18539.40404040404	21397.436664225454	12931.025862068966	21000
legacy	2013	38356	missoula	9500	14738.527912531097	18539.40404040404	16176.17074859342	6418.04289544236	12000
outback	2011	116000	missoula	10400	13266.395390033833	11650.57939914163	11317.850425820292	7574.452145214522	9900
outback	2011	166000	minneapolis	2000	11081.516059641097	11650.57939914163	8381.502808814355	7574.452145214522	9900
impreza	2007	123700	minneapolis	5500	5761.9726367162875	7276.251040221914	4856.962721093079	6655.659942363112	5250
forester	2001	168	minneapolis	1500	4206.609632680611	2504.294736842105	1344.7619644899032	6524.113964686999	2350
outback	2001	119737	minneapolis	2900	2445.9596327423133	2504.294736842105	3344.529342066803	7574.452145214522	2450
impreza	2008	80000	atlanta	5900	6495.1911217504385	7276.251040221914	6549.670766401955	6655.659942363112	5500
outback	2006	140000	atlanta	3500	6426.578628911957	7276.251040221914	5216.646180828303	7574.452145214522	4997.5
impreza-wrx	2011	87007	atlanta	16250	12818.83551603027	11650.57939914163	13442.91067959243	9121.141592920354	15800
outback	2017	27800	minneapolis	29900	17151.017616526722	18539.40404040404	23105.286671365116	7574.452145214522	24900
forester	2007	123000	missoula	7600	8750.179091726422	7276.251040221914	6229.413974173916	6524.113964686999	5998
forester	2009	101000	missoula	6500	10594.905261051394	7276.251040221914	8395.526146602515	6524.113964686999	6900
outback	2002	154622	minneapolis	2900	3209.5425936699157	2417.3728222996515	2794.11229124523	7574.452145214522	2500
brz	2013	34000	atlanta	19000	15193.210781861384	18539.40404040404	16558.59124171591	16082.274725274725	15950
forester	2015	31340	minneapolis	14000	14363.878563158532	18539.40404040404	17169.97999586133	6524.113964686999	16100
outback	2009	171000	minneapolis	3975	9311.809755381471	4789.687074829932	6374.729041211284	7574.452145214522	8000
forester-xt	2009	109400	minneapolis	9900	10523.119417406991	7276.251040221914	9811.544711579849	9804.4	9900
forester	2001	211000	missoula	1000	3239.0256601292012	2417.3728222996515	2307.4905766990814	6524.113964686999	2350
impreza	2013	50000	minneapolis	9500	11437.007071960452	11567.134146341463	10832.134337340593	6655.659942363112	10299
impreza	2004	242000	minneapolis	1950	2826.4976037654155	4789.687074829932	2217.0590228913143	6655.659942363112	3725
outback	2001	243000	minneapolis	600	2128.642285909398	2417.3728222996515	1152.2897723149272	7574.452145214522	2450
outback	2002	215000	minneapolis	1500	3061.7389001574247	2417.3728222996515	1690.6570237705182	7574.452145214522	2500
impreza	2006	161000	minneapolis	4300	4765.627881500712	4789.687074829932	3777.5719419097277	6655.659942363112	4750
sti-wrx	2015	50000	minneapolis	24999	24402.554953345214	27667.102040816328	25423.901576672986	19286.675213675215	29750
impreza-wrx	2002	203500	minneapolis	4800	4874.454811163609	2417.3728222996515	3546.153491807133	9121.141592920354	5300
legacy	2006	120	minneapolis	1	8883.348930084847	7276.251040221914	3943.259698795505	6418.04289544236	5000
sti-wrx	2014	53000	minneapolis	24000	23498.26510937814	27667.102040816328	24471.085081716526	19286.675213675215	27000
impreza	2007	123700	minneapolis	5400	5761.9726367162875	7276.251040221914	4856.962721093079	6655.659942363112	5250
outback	2008	127000	minneapolis	6400	8566.96800863206	7276.251040221914	7002.849540679756	7574.452145214522	6325
outback	2002	238000	atlanta	1000	2675.864398060532	2417.3728222996515	1741.176373031387	7574.452145214522	2500
impreza-wrx	2004	160000	atlanta	1	6398.38107043168	4789.687074829932	6338.902275778764	9121.141592920354	6500
outback	2005	226000	missoula	2999	7698.183469847505	4789.687074829932	3298.670382269577	7574.452145214522	4400
forester	2014	16000	missoula	18000	15810.129148681925	18539.40404040404	17320.84969140167	6524.113964686999	15900
wrx	2013	62000	atlanta	18500	16398.944554685968	18539.40404040404	18327.316857178535	12931.025862068966	18950
outback	1997	239000	minneapolis	899	-1376.7178148764087	2417.3728222996515	1202.5017333400956	7574.452145214522	1200
legacy	2013	86000	minneapolis	12500	12352.737317785479	11650.57939914163	11027.95721857664	6418.04289544236	12000
outback	2001	200900	minneapolis	1600	2213.9528338918353	2417.3728222996515	1720.1529228341906	7574.452145214522	2450
forester	2010	133	atlanta	7250	11832.896401886066	7276.251040221914	6048.803724373317	6524.113964686999	7100
forester-xt	2009	174900	atlanta	6400	9972.483621889869	4789.687074829932	9048.9795198073	9804.4	9900
outback	2004	80000	atlanta	2200	4920.9842341129315	7276.251040221914	6507.722034759727	7574.452145214522	3999.5
outback	2016	34250	atlanta	26500	15839.21623009421	18539.40404040404	22382.1565994837	7574.452145214522	19350
impreza	2006	126000	atlanta	2800	4535.212398464542	7276.251040221914	4363.768696582494	6655.659942363112	4750
legacy	2005	90000	minneapolis	3000	5306.759907040689	7276.251040221914	5180.060872324164	6418.04289544236	4000
wrx	2002	195000	atlanta	4500	6225.187156837843	2417.3728222996515	4767.896053431063	12931.025862068966	5500
impreza-wrx	2008	108500	atlanta	12000	10085.300308014832	7276.251040221914	10256.07041729277	9121.141592920354	8999
outback	2001	183000	minneapolis	1895	2255.7954440264184	2417.3728222996515	2006.433414820097	7574.452145214522	2450
forester	2002	186000	atlanta	2499	1809.2542950833	2417.3728222996515	2317.273947807623	6524.113964686999	2700
forester	2009	118400	minneapolis	8900	8499.448996054793	7276.251040221914	7901.167217887261	6524.113964686999	6900
legacy-outback	1999	146993	atlanta	2700	619.1039418792338	2504.294736842105	2051.3916238524607	3175.4347826086955	1450
outback	2011	144500	minneapolis	9500	11143.7012827514	11650.57939914163	9126.33367393631	7574.452145214522	9900
outback	2006	140000	atlanta	3500	6426.578628911957	7276.251040221914	5216.646180828303	7574.452145214522	4997.5
sti-wrx	2008	80000	minneapolis	19500	18044.63915145723	13797.777777777777	17823.844117629673	19286.675213675215	16750
impreza	2003	159670	minneapolis	3500	2134.7446336532807	2417.3728222996515	2911.7027061528497	6655.659942363112	3000
forester-xt	2010	146400	minneapolis	8400	11270.730466156614	7276.251040221914	9607.328343177582	9804.4	9900
impreza	2005	175000	minneapolis	2500	3850.0439127183613	4789.687074829932	3223.616001243926	6655.659942363112	4500
sti-wrx	2007	88000	minneapolis	15000	17123.732590337007	13797.777777777777	16676.395457849074	19286.675213675215	14000
sti-wrx	2015	61000	atlanta	33000	23973.20909323368	27667.102040816328	25908.149406521785	19286.675213675215	29750
impreza	2009	131600	atlanta	3999	7150.3220407417975	7276.251040221914	5793.5254892448265	6655.659942363112	5950
sti-wrx	2011	35000	atlanta	22000	20709.073442295383	27667.102040816328	24039.721773837762	19286.675213675215	20435
outback	2015	51000	atlanta	24000	14782.836941305855	18539.40404040404	19488.71373972574	7574.452145214522	17750
wrx	2011	71000	minneapolis	15000	14922.129723753937	18539.40404040404	16635.211968342526	12931.025862068966	15750
outback	2012	95000	missoula	15999	14234.103358220244	11650.57939914163	13565.838269804019	7574.452145214522	11650
legacy	2013	38356	missoula	8500	14738.527912531097	18539.40404040404	16176.17074859342	6418.04289544236	12000
forester	2009	143400	minneapolis	7900	8413.57585031976	7276.251040221914	7004.609428089916	6524.113964686999	6900
forester	2017	10	minneapolis	16200	18657.30821967795	18539.40404040404	7380.438663919173	6524.113964686999	17700
forester	2009	74000	atlanta	7200	8369.766879408611	7276.251040221914	9610.067882565512	6524.113964686999	6900
